date,open,high,low,close,volume
2021-05-07,390.0,404.95,385.25,401.1,46343220.0
2021-05-10,407.8,427.5,406.7,425.75,39516234.0
2021-05-11,414.85,420.6,408.85,412.8,27497466.0
2021-05-12,416.0,417.65,393.7,398.8,18242276.0
2021-05-14,403.0,403.65,368.15,382.8,41384078.0
2021-05-17,384.5,395.35,377.25,392.95,20821967.0
2021-05-18,401.0,412.8,396.5,402.1,30540086.0
2021-05-19,400.0,406.45,394.2,403.3,16113667.0
2021-05-20,390.0,393.2,379.45,385.2,30689219.0
2021-05-21,388.7,391.9,383.35,389.8,22406993.0
2021-05-24,392.9,393.7,379.45,389.3,23694105.0
2021-05-25,394.0,399.5,389.55,391.2,18155697.0
2021-05-26,389.25,389.5,380.25,381.0,15340621.0
2021-05-27,382.05,388.45,380.0,385.85,17374666.0
2021-05-28,393.0,398.85,384.8,387.75,14862168.0
2021-05-31,391.55,395.4,388.0,394.25,13703439.0
2021-06-01,396.0,396.8,386.5,394.7,11399189.0
2021-06-02,389.0,402.7,389.0,398.8,9587386.0
2021-06-03,403.0,405.5,398.0,399.2,12441261.0
2021-06-04,400.0,400.0,392.3,395.05,10040657.0
2021-06-07,396.15,401.4,394.25,395.0,6176784.0
2021-06-08,395.0,395.5,381.1,387.75,17334691.0
2021-06-09,388.0,390.95,382.3,383.15,11807015.0
2021-06-10,386.15,389.95,384.25,385.4,5796380.0
2021-06-11,388.4,395.0,383.15,393.15,9630564.0
2021-06-14,392.95,397.5,381.35,394.8,11601461.0
2021-06-15,391.0,396.35,390.0,390.85,7929361.0
2021-06-16,387.3,391.35,377.0,380.25,17978012.0
2021-06-17,376.0,380.3,365.05,369.25,14321673.0
2021-06-18,368.75,373.35,359.8,371.35,22723111.0
2021-06-21,366.9,369.95,360.4,367.6,13172227.0
2021-06-22,371.0,371.85,366.25,367.55,9787216.0
2021-06-23,368.05,377.0,367.35,368.1,14295574.0
2021-06-24,369.0,372.45,366.1,369.05,9066954.0
2021-06-25,371.55,380.35,371.55,375.9,12815999.0
2021-06-28,378.9,384.95,374.25,382.3,14518487.0
2021-06-29,383.4,383.5,372.7,374.25,9106037.0
2021-06-30,376.55,379.4,370.95,372.05,10110801.0
2021-07-01,372.3,380.8,372.0,379.4,8232292.0
