date,open,high,low,close,volume
2021-05-07,785.85,785.85,743.4,752.75,513294.0
2021-05-10,754.8,766.0,746.0,747.75,434021.0
2021-05-11,742.0,775.0,742.0,763.2,823028.0
2021-05-12,758.6,776.0,755.05,770.1,414426.0
2021-05-14,770.0,783.0,758.3,772.6,541416.0
2021-05-17,772.65,813.95,760.6,795.15,1956412.0
2021-05-18,800.0,832.9,799.25,828.3,2275063.0
2021-05-19,835.0,855.0,812.05,819.45,1855576.0
2021-05-20,826.4,829.45,803.4,811.6,556669.0
2021-05-21,811.0,832.3,803.0,826.85,806206.0
2021-05-24,831.5,839.0,806.0,809.75,684641.0
2021-05-25,819.4,830.9,810.8,824.65,720336.0
2021-05-26,834.7,836.85,824.0,826.0,499153.0
2021-05-27,821.0,834.25,818.5,828.1,940317.0
2021-05-28,828.4,847.35,822.65,826.6,905813.0
2021-05-31,832.0,856.8,824.6,851.65,1296401.0
2021-06-01,857.0,862.8,833.35,840.2,697195.0
2021-06-02,836.5,855.0,833.0,853.15,826415.0
2021-06-03,853.15,863.9,847.2,854.75,404997.0
2021-06-04,852.75,863.25,847.5,852.1,781342.0
2021-06-07,851.1,874.0,845.0,857.5,463126.0
2021-06-08,857.5,869.35,848.0,865.85,370448.0
2021-06-09,868.95,872.95,841.0,844.85,465156.0
2021-06-10,854.0,884.85,838.4,876.9,1034717.0
2021-06-11,885.0,892.45,867.85,873.65,590610.0
2021-06-14,871.0,877.55,850.5,867.55,226622.0
2021-06-15,864.0,871.9,853.45,856.65,306451.0
2021-06-16,857.0,869.8,848.15,851.2,246452.0
2021-06-17,842.0,895.0,828.95,855.6,1820950.0
2021-06-18,863.9,864.9,840.2,849.2,1005831.0
2021-06-21,843.0,862.65,831.05,853.25,649897.0
2021-06-22,861.0,864.4,849.0,853.0,427455.0
2021-06-23,860.0,867.75,849.0,857.5,437812.0
2021-06-24,860.0,864.4,850.0,857.0,337562.0
2021-06-25,860.0,867.75,853.25,863.5,302991.0
2021-06-28,863.0,885.9,855.25,881.35,414235.0
2021-06-29,879.0,881.0,856.1,862.65,324166.0
2021-06-30,855.1,865.75,846.25,849.85,351060.0
2021-07-01,851.4,862.0,848.0,857.9,138698.0
2021-07-02,866.65,909.8,857.5,899.8,1945993.0
2021-07-05,909.5,921.0,896.0,901.95,1316486.0
2021-07-06,905.0,917.6,891.4,901.85,730080.0
2021-07-07,907.55,912.2,893.35,908.9,283658.0
2021-07-08,914.7,947.95,906.0,921.3,2179864.0
2021-07-09,921.3,924.5,900.0,905.3,507064.0
2021-07-12,910.0,924.9,895.0,899.25,576161.0
2021-07-13,907.9,936.7,900.9,926.8,842102.0
2021-07-14,931.0,936.05,914.3,917.95,684507.0
2021-07-15,921.3,927.95,899.0,902.8,439404.0
2021-07-16,911.0,911.0,878.0,879.9,569938.0
2021-07-19,877.9,879.0,860.0,870.0,759172.0
2021-07-20,869.9,869.9,838.0,861.4,754030.0
2021-07-22,867.0,925.0,865.05,920.5,1813383.0
2021-07-23,922.95,922.95,887.85,891.15,614666.0
2021-07-26,896.5,897.0,870.6,891.05,613423.0
2021-07-27,892.0,925.95,885.05,917.0,947007.0
2021-07-28,917.0,931.7,898.45,926.3,740399.0
2021-07-29,926.5,933.15,910.5,914.9,358868.0
2021-07-30,919.7,942.95,912.0,922.9,720404.0
2021-08-02,923.3,969.0,922.9,956.6,1342173.0
2021-08-03,965.9,965.9,934.05,938.75,572016.0
2021-08-04,946.95,952.7,920.75,928.9,335436.0
2021-08-05,930.6,939.9,898.0,915.5,1041009.0
2021-08-06,921.2,936.95,912.25,919.35,636462.0
