date,open,high,low,close,volume
2026-04-06,230.8,236.0,226.1,235.31,16036376.0
2026-04-07,233.1,236.0,231.77,235.33,13783445.0
2026-04-08,245.1,248.1,242.15,246.86,19911975.0
2026-04-09,246.0,246.0,236.7,238.84,21124622.0
2026-04-10,240.7,243.8,240.0,243.2,12039959.0
2026-04-13,237.0,238.31,235.26,237.68,15386126.0
2026-04-15,242.5,244.25,241.51,242.66,20476591.0
2026-04-16,244.5,245.0,238.02,241.27,26180404.0
2026-04-17,242.02,245.5,240.64,243.86,51452527.0
2026-04-20,242.0,242.01,234.5,237.15,38415130.0
2026-04-21,237.27,237.6,234.1,234.75,46344616.0
2026-04-22,234.7,241.15,234.55,238.51,40251825.0
2026-04-23,240.0,251.7,238.54,248.66,74432271.0
2026-04-24,252.0,253.2,244.1,245.73,32701729.0
2026-04-27,247.1,254.7,247.02,253.64,25870371.0
2026-04-28,255.5,256.0,249.53,250.81,21934246.0
2026-04-29,252.11,257.0,250.03,250.71,22455886.0
2026-04-30,250.0,250.0,243.11,246.37,20595815.0
2026-05-04,248.0,254.0,247.87,252.74,17828741.0
2026-05-05,252.0,253.7,247.3,248.45,16205692.0
2026-05-06,251.0,252.99,249.17,252.44,14692193.0
