date,open,high,low,close,volume
2026-04-06,293.0,295.35,290.25,294.85,18047063.0
2026-04-07,294.15,299.0,292.75,298.45,26963485.0
2026-04-08,303.9,304.6,301.55,302.45,22310207.0
2026-04-09,301.5,304.4,301.25,303.0,17691477.0
2026-04-10,303.0,305.4,302.6,304.25,17744386.0
2026-04-13,300.0,301.45,298.1,298.65,16522014.0
2026-04-15,300.7,304.0,300.55,302.05,18701403.0
2026-04-16,302.95,305.35,301.85,303.4,16512053.0
2026-04-17,303.85,309.95,303.85,306.8,35111203.0
2026-04-20,307.0,307.95,304.45,305.0,13540471.0
2026-04-21,305.0,311.1,304.55,309.65,24411865.0
2026-04-22,310.0,310.55,305.1,305.5,24500511.0
2026-04-23,304.0,306.35,303.25,305.3,10701849.0
2026-04-24,306.65,306.65,301.1,301.6,17011704.0
2026-04-27,303.65,305.65,302.85,303.85,14382348.0
2026-04-28,304.4,305.8,302.55,304.45,12907339.0
2026-04-29,305.1,317.5,305.1,316.25,31199038.0
2026-04-30,316.25,317.5,313.3,314.9,11541956.0
2026-05-04,317.9,317.9,310.5,311.1,20245091.0
2026-05-05,311.1,313.7,309.65,311.45,26795704.0
2026-05-06,312.8,313.6,309.25,310.7,20287609.0
