date,open,high,low,close,volume
2026-04-01,290.0,293.0,282.8,288.05,31626297.0
2026-04-02,288.5,288.8,283.5,287.2,20935809.0
2026-04-06,287.3,288.5,280.45,281.85,24449779.0
2026-04-07,281.85,287.55,280.0,286.65,22891122.0
2026-04-08,280.0,287.85,274.75,285.5,42071040.0
2026-04-09,284.9,289.8,284.9,288.6,13585661.0
2026-04-10,288.6,291.85,284.55,286.5,12889209.0
2026-04-13,287.2,290.3,281.0,287.55,23986567.0
2026-04-15,284.05,289.8,283.35,287.6,16529148.0
2026-04-16,288.0,288.1,282.0,282.75,13626398.0
2026-04-17,283.4,285.5,282.2,284.05,17846605.0
2026-04-20,284.0,285.2,282.5,283.35,11057036.0
2026-04-21,283.15,284.85,282.4,283.1,13645673.0
2026-04-22,283.1,285.05,282.6,283.65,7395183.0
2026-04-23,284.85,289.8,284.05,286.25,13525025.0
2026-04-24,288.8,288.8,283.9,284.8,11789941.0
2026-04-27,286.0,286.7,284.2,285.9,6497916.0
2026-04-28,286.25,302.4,286.0,301.3,51575179.0
2026-04-29,303.9,307.5,299.75,301.4,27267649.0
2026-04-30,304.9,307.45,296.9,299.55,17490096.0
2026-05-04,298.4,299.9,292.35,292.9,15468437.0
2026-05-05,294.35,295.9,287.0,289.95,10750753.0
