date,open,high,low,close,volume
2026-04-01,292.0,292.0,280.1,281.25,16919233.0
2026-04-02,275.3,281.15,266.6,278.15,13404373.0
2026-04-06,277.75,279.95,272.15,278.7,11923889.0
2026-04-07,273.2,278.25,271.0,277.45,14410706.0
2026-04-08,293.5,301.5,292.15,298.1,26646510.0
2026-04-09,296.0,299.7,293.0,297.35,17580272.0
2026-04-10,297.4,303.2,296.2,299.35,13853270.0
2026-04-13,284.25,294.0,284.25,292.95,13454302.0
2026-04-15,300.6,311.45,299.0,310.45,26146547.0
2026-04-16,314.9,314.9,307.25,307.95,14067180.0
2026-04-17,308.8,313.7,306.25,312.1,10758881.0
2026-04-20,312.1,319.0,307.0,316.05,14504057.0
2026-04-21,316.05,320.1,315.1,318.05,9935289.0
2026-04-22,317.0,317.0,313.0,314.4,7456858.0
2026-04-23,312.0,313.75,308.4,309.8,8518111.0
2026-04-24,309.0,310.75,300.15,308.1,10531252.0
2026-04-27,308.3,315.1,306.7,312.65,5296412.0
2026-04-28,308.7,313.1,305.15,307.75,14434171.0
2026-04-29,308.4,310.9,303.15,303.9,16918034.0
2026-04-30,300.05,302.35,295.55,300.45,13025294.0
2026-05-04,302.5,305.9,300.1,301.7,9009471.0
2026-05-05,300.25,300.45,293.3,298.5,12433693.0
2026-05-06,304.7,316.6,301.85,314.05,16983058.0
