date,open,high,low,close,volume
2026-04-01,7549.0,7587.0,7250.5,7305.5,618068.0
2026-04-02,7150.5,7368.0,7150.5,7317.5,338111.0
2026-04-06,7350.0,7397.0,7243.0,7373.0,360086.0
2026-04-07,7370.5,7370.5,7220.5,7326.5,311560.0
2026-04-08,7385.0,7518.0,7332.5,7401.5,387242.0
2026-04-09,7400.0,7512.0,7364.0,7481.5,416753.0
2026-04-10,7500.0,7563.0,7461.5,7511.5,437163.0
2026-04-13,7420.0,7566.0,7403.5,7516.5,310575.0
2026-04-15,7516.5,7686.0,7500.0,7642.0,464570.0
2026-04-16,7678.0,7678.0,7510.0,7553.0,400487.0
2026-04-17,7553.0,7710.0,7515.0,7699.0,343875.0
2026-04-20,7705.0,7730.5,7622.0,7657.0,344019.0
2026-04-21,7686.5,7765.0,7667.5,7744.0,312758.0
2026-04-22,7702.0,7801.5,7615.0,7662.0,608446.0
2026-04-23,7685.0,7815.0,7601.0,7781.0,304110.0
2026-04-24,7814.0,7845.0,7684.5,7732.5,407458.0
2026-04-27,7759.0,7850.0,7735.0,7825.0,289661.0
2026-04-28,7840.0,7878.5,7711.0,7753.0,353826.0
2026-04-29,7745.0,7799.0,7681.0,7709.0,321242.0
2026-04-30,7634.5,7680.0,7561.5,7636.5,392016.0
2026-05-04,7699.5,7790.0,7673.0,7737.5,328426.0
2026-05-05,7724.5,7780.5,7678.0,7772.0,254331.0
2026-05-06,7810.5,7815.0,7742.5,7760.5,437084.0
