date,open,high,low,close,volume
2026-04-01,1255.0,1257.0,1194.0,1195.9,2180444.0
2026-04-02,1190.0,1196.6,1165.7,1192.4,3128666.0
2026-04-06,1190.3,1206.0,1170.0,1200.9,2188849.0
2026-04-07,1195.0,1210.4,1185.4,1202.4,2046737.0
2026-04-08,1220.0,1223.0,1204.5,1215.9,2476674.0
2026-04-09,1215.2,1231.2,1213.1,1224.4,2545266.0
2026-04-10,1225.4,1239.0,1220.8,1229.5,2086385.0
2026-04-13,1222.3,1222.3,1203.2,1211.1,1611654.0
2026-04-15,1220.0,1228.7,1216.1,1227.0,1297882.0
2026-04-16,1231.0,1235.5,1222.8,1230.5,1778133.0
2026-04-17,1230.5,1244.5,1224.4,1240.8,2291092.0
2026-04-20,1245.0,1246.0,1226.0,1229.5,1158618.0
2026-04-21,1228.6,1236.4,1223.3,1232.5,1428292.0
2026-04-22,1226.0,1240.8,1222.0,1236.3,1172238.0
2026-04-23,1234.1,1308.4,1227.6,1305.9,5274028.0
2026-04-24,1295.0,1303.9,1254.1,1295.0,4427307.0
2026-04-27,1303.2,1320.7,1299.0,1317.2,1721187.0
2026-04-28,1316.0,1326.0,1296.3,1306.5,1501522.0
2026-04-29,1312.0,1322.0,1307.8,1317.6,986556.0
2026-04-30,1317.9,1329.8,1305.0,1309.6,1370336.0
2026-05-04,1320.0,1337.4,1313.6,1335.0,1088765.0
2026-05-05,1339.0,1339.4,1316.4,1333.7,1051020.0
2026-05-06,1340.0,1372.0,1333.1,1364.4,1854812.0
